CountryName,Pct_seats,Pct_pop,rep_level
Botswana,10.77,51.63803667,Severe Under
Spain,44,50.87242421,Near Equal
South Sudan,28.46,49.95052483,Low Under
Sudan,27.65,50.04359049,Low Under
Suriname,31.37,49.72934294,Low Under
Eswatini,9.59,50.98215973,Severe Under
Sweden,46.99,49.92625337,Near Equal
Switzerland,41.5,50.40761295,Near Equal
Brazil,14.62,50.84890006,Severe Under
Syrian Arab Republic,12.4,49.88585911,Severe Under
Tajikistan,19.05,49.59831126,Moderate Under
Thailand,16.2,51.30403867,Severe Under
Togo,18.68,50.2540533,Moderate Under
Tonga,7.41,49.9641138,Severe Under
Trinidad and Tobago,30.95,50.60951175,Low Under
United Arab Emirates,50,30.74266421,Over
Tunisia,24.88,50.42224607,Moderate Under
Turkey,17.32,50.64856412,Moderate Under
Turkmenistan,25,50.76335043,Moderate Under
Albania,29.51,49.08610569,Low Under
Uganda,34.86,50.74007354,Low Under
Ukraine,20.8,53.67734607,Moderate Under
North Macedonia,40,49.97235365,Near Equal
Egypt,15.1,49.47348229,Moderate Under
United Kingdom of Great Britain and Northern Ireland,33.85,50.61253445,Low Under
United Republic of Tanzania,36.9,50.03811624,Low Under
Belize,9.38,50.22915274,Severe Under
United States of America,23.43,50.51848721,Moderate Under
Burkina Faso,13.39,50.06356605,Severe Under
Uruguay,21.21,51.70367079,Moderate Under
Uzbekistan,32,50.12352754,Low Under
Venezuela (Bolivarian Republic of),22.16,50.74585417,Moderate Under
Samoa,10,48.24575201,Severe Under
Yemen,0.33,49.61825904,Severe Under
Zambia,16.77,50.48879029,Moderate Under
Solomon Islands,6.12,49.15328125,Severe Under
Brunei Darussalam,9.09,48.07660352,Severe Under
